Functionality,Trigger type,Trigger,What it executes,What it means
Captions,Engine (PubSub),"firstCaptionFrameEnd, seekSync, videoTimeUpdate",UI subscribes; updates caption highlight / playback sync,Keeps caption segment in sync with playback.
Captions,Timeline click,Click on #CaptionTrack segment,Handler sets currentCaptionSegmentId and updates textBoxMap (caption position at that time),Selects caption segment on timeline; no analytics in this path.
Captions,Side panel click,Click/select text in caption panel,"Reads document.getSelection(), resolves word IDs, calls handleSelection; updates multiSelectedWordIds, activePopoverWordId, editingWordIds, etc.",Selection and edit state for caption words.
Captions,Corrections / operations,User applies correct timing or caption operation from toolbar/menu,Caption track mutations (replace text adjust timing remove segment etc.) + store dispatch,Edits the caption track; analytics fired separately.
Captions,On-demand analysis,Analysis pipeline (e.g. refine),Populates or updates caption track from backend; may fire editor.onDemand.start / process / failed,Fills or updates captions from analysis.
Captions,Preview / init,Timeline build before real analysis,Creates mock caption section on captionTrackInstance with placeholder text/style,Preview of caption style before transcript exists.
Add Music,Drag & drop,User drops music on timeline (type MUSIC),"Drop handler calls insertMusicByCurrentTime(getState, dispatch, musicResource, dropTimeMs, drag) then createMusic(...)",Adds music section at drop time; optionally shows split popup if music longer than timeline.
Add Music,Button / brand template,User adds via add music button or brand template with sound,"insertMusicByCurrentTime(..., musicPayload, sectionTimestamp?, button, skipSnapshot?); template uses 0, button, true",Adds music at current time or at 0 for template; createMusic does the track update.
Add Music,Drag start,User starts dragging music from sidebar,Sets drag context; timeline shows placeholder (duration from music or default),UI only; actual add on drop.
Add Music,Track update,Inside createMusic,"Gets/creates soundTrackInstance, unshifts new section, sorts by timeRange.timelineIn, adds to active segments, dispatches updated track",Writes the new music section into the AudioTrack.
AI Hook (Voiceover),Add AI hook (from caption menu),User chooses Add AI hook on a caption word,"tf(Voiceover) opens Voiceover panel; analytics editor.caption.operation with firstOperation: Add AI hook",Opens Voiceover sidebar; user then configures and generates.
AI Hook (Voiceover),Generate (in Voiceover panel),User configures and clicks generate,Voiceover generation API; on success new section added to voiceoverTrackInstance; caption word gets source === voice over,Creates voiceover segment and links it to the caption word.
AI Hook (Voiceover),Delete from word menu,Delete AI hook / Remove voice over on a word,"Resolve voiceover section by word id from voiceoverTrack; ty([section.id]) deletes section; eO() (e.g. close menu)",Removes that voiceover section; no editor.voiceover.delete in this path.
AI Hook (Voiceover),Revert (caption word),User chooses Revert for that word,"ej([word.id], text); eO()",Restores original caption text for that word.
AI Hook (Voiceover),Move on timeline,User drags voiceover segment and releases,"onMoveVoiceoverHandler; then takeSnapshot()",Updates voiceover section position on track.
AI Hook (Voiceover),Delete from timeline,User deletes VoiceOver segment(s) (e.g. Delete key),Remove sections from voiceoverTrackInstance; then push editor.voiceover.delete,Deletes voiceover at timeline level.
Add Text (Text Overlay),Drag start,User starts dragging Heading or Body text from sidebar,"eventId: TEXT_OVERLAY, value: heading | paragraph; setOutsideDraggingSection({ trackType: TextOverlayTrack, startMs, endMs }); duration from Y.Gd (3000 ms)",Shows drop placeholder on timeline.
Add Text (Text Overlay),Drop,User drops text overlay on timeline,"Drop handler: createTextOverlaySection(textOverlayType, dropTimeMs) then gets/creates textOverlayTrack, builds section via Rq/T(type, startMs, i18n), pushes section, sorts, addSegmentToActiveSegments, updateAllSectionsTimeline",Creates one TextOverlay section at drop time with default content/style.
Add Text (Text Overlay),Move,User drags text overlay segment to new time,Move handler updates section position on track; takeSnapshot(),Updates segment timeline.
Add Text (Text Overlay),Trim / extend,User drags in/out handles on segment,Resize handler (e.g. resizeSectionInstance) on textOverlayTrackInstance; takeSnapshot(),Shortens or lengthens segment duration.
Add Text (Text Overlay),Delete,User deletes selected TextOverlay segment(s),Remove sections from track (e.g. sectionMap.get(id).delete()); dispatch updated track,Removes text overlay from timeline.
Transitions,Drop,User drops transition from sidebar onto timeline,"Drop handler: createEffect(position, transitionType) — gets videoEffectTrack (or empty), builds VideoEffect section via X.mH({ timeline: { in, out }, effectType }), pushes section, sorts, adds to active segments, updateAllSectionsTimeline; takeSnapshot()",Adds one transition segment at drop position (default duration e.g. 300 ms).
Transitions,Move,User drags transition segment to new time,"onMoveEffectHandler(segmentId); engine moves section; takeSnapshot()",Updates transition position on VideoEffectTrack.
Transitions,Trim / extend,User drags left or right edge of transition,"onDragEffectEndHandler({ segId, timeOffset: { durationOffset, inOffset } }); resizeSectionInstance on videoEffectTrackInstance; takeSnapshot()",Shortens (trim) or lengthens (extend) transition.
Transitions,Delete,User deletes VideoEffect segment(s),"Filter by type VideoEffect; videoEffectTrackInstance.sectionMap.get(segmentId).delete(); clean track; takeSnapshot()",Removes transition(s) from timeline.
Transitions,Auto transitions,User enables or applies auto transition (sidebar/template),"applyCurrentAutoTransitions(effectType), applyGeneratedAutoTransitions(keyframeTrack, effectType), handleAutoTransitionsCheck(checked), or removeAllAutoTransitions; sets enableAutoTransition, selectedTransitions",Applies one transition type between keyframe sections or clears all.
B-Roll,State → action,quickGenBroll === true,handleCreateBrolls({ type: GenAi, genType: auto }),Auto-generates AI b-roll.
B-Roll,UI navigation,openAndSwitchClipAssetsMenu(BRoll),Opens the BRoll sidebar panel,Enables user to start GenAi/Stock generation from the panel.
B-Roll,Selection → UI mode,Setting activeClipBroll,Opens floating submenu based on brollType or brollMenuOpenType,Selecting a b-roll segment enables replace/regenerate/crop actions.
B-Roll,Apply (commit to track),User confirms/apply in UI,applyBroll(...),Writes the chosen b-roll (urls/crop/keyword/prompt/etc.) into the BRollTrack.
B-Roll,Generation result → append,Generator returns sections/elements,"appendBroll(...) (+ updateBrollProcess(...))",Inserts generated b-roll into the timeline; updates progress UI.
B-Roll,Delete,User deletes b-roll from UI/timeline,deleteBroll(contentIds),Removes b-roll from the BRollTrack.
B-Roll,Normalize / init,Before use / on load,"preprocessBrollTrack(...), initBrolls(...)",Ensures consistent b-roll track data and hydrates track instance.
Auto Censor,Per-word: censor,Censor this instance only or Censor all instances in word popover,"applyCensor(wordId) or applyCensorWords([word]) — sets word type = curse, masks text per curseWordsConfig.captionMaskStyle (Asterisks/Dashes)",Marks word(s) as curse and replaces display text.
Auto Censor,Per-word: revert,Undo censoring on a word,"revertCensorWord(wordId) — clears curse type and restores original text",Removes censor from that word.
Auto Censor,Panel: switch on,User turns on auto censor in panel,"switchOnAutoCensor — updates preferences (curseWordsConfig.enabled = true, captionMaskStyle, audioMaskStyle), openCurseWordsPanel, applyCensorWords(currentCurseWords)",Applies censor to current curse list and opens curse-words panel.
Auto Censor,Panel: switch off,User turns off auto censor,"switchOffAutoCensor — revertCensorWords(), set curseWordsConfig.enabled = false, takeSnapshot()",Reverts all censored words and disables auto censor.
Remove Filler Words,Button click,User clicks Remove filler words (e.g. in AI enhance / Clean panel),"If not gated: push editor.filler.remove.attempt, then if getCleanOperationNoti() is true, call cleanFillerWords() (e.g. ea() && eo())",Starts removal flow; guard blocks if timeline locked.
